PersonId,NumOrgs,NumPrivateOrgs,NumProjects,TotalMoney,PrivateMoney
00002C86-98D2-4681-992A-E6F180D197C0,3,1.509188793882,1,0.42700435E6,214810.0599862891
00039CD0-192A-4190-8683-0C1C09B06730,2,0.7889681320899999,1,0.1781005E5,7025.780940464751
0004392E-868B-4626-8188-49A474CBB51C,2,1.778744153806,1,0.79884E6,710465.9899131926
00052124-585D-4385-9F57-96D64AD3A6BA,3,1.395590387003,4,0.78714495E6,76312.75704974463
000B4596-358F-4F7F-9F2F-3CCBE90F5FAA,11,6.054942211295001,2,0.1058742E7,460336.3623619048
000BC7B1-6305-4B0C-B52A-AD8859C238DD,7,3.777853028071,10,0.9345370048E7,650729.417105132
000BCE86-F330-4B9B-A829-514C34739FCF,2,0.732090856566,1,0.15912034E5,5824.527300383657
000CE96A-FD9E-4060-B753-23BDBBF48619,3,1.395590387003,1,0.6963732E5,32395.05812288392
000D96B5-C7BF-4B57-8A55-297405C078F9,2,0.5410827229690001,1,0.416947E6,112801.40904687783
000EA2B7-E296-4D75-B9A5-8E35AAEEEF42,3,1.521299364851,1,0.39118892E6,198371.8185109162
000EE51B-5F62-4E6E-8EF8-E0009D63CE86,2,0.6331105638360001,1,0.70137E5,22202.237807882768
000F24A9-BD96-46D1-A3E0-CABCFB047721,2,1.24,1,0.7114502E5,44109.9124
000F44F5-39AC-4DE1-8453-B58A48288410,2,0.877586932402,1,0.4677403E5,20524.13875188956
00108FEE-5B74-4FE1-AC9B-440D95EA15FC,2,0.939576199557,1,0.344276E4,1617.3676783934288
00112908-612A-497B-8C22-1F7DB944020D,37,21.368428538339003,11,0.290813137E7,208516.55491099166
0011768D-A8C9-4647-8C23-3EA3BAE9AC64,20,10.514182775448996,5,0.957238251E7,1296641.5848985596
0013F913-7529-4012-BA40-7EC9AF05EA2C,2,0.795374775333,1,0.1339397926E7,532661.662236868
001588D0-3EBD-4C50-8BB6-A144D2CF32EA,3,1.472338060548,2,0.7448987348E7,1587263.8573102276
0018CEB7-D9B0-4C31-8994-2BFAEE693ACE,2,0.877586932402,1,0.1646778694E7,722595.7312062159
0019A493-66B4-4A87-B277-EEC08EBF7DC8,5,1.837994139422,1,0.60857394E6,223711.06702499115
001A9792-C636-4B75-A8D4-A3C1B55359DC,7,3.5368897518540003,6,0.1716053673E8,1255176.8972496255
001AAE58-8385-4ED8-BC85-B55196D0C253,7,3.5736799494110003,4,0.14146342764E7,151039.37888598588
001C2214-E6E5-4171-84BB-7432947DC418,2,1.096450085816,1,0.2856273562E6,156588.0696084436
